writes exactly the %d objects shown here back to %s.cdproj.\nObjects of other projects and new objects are not touched.	writes exactly the %d objects shown here back to %s.cdproj.\nObjects of other projects and new objects are not touched.	将此处显示的 %d 个物体原样写回 %s.cdproj。\n其他项目和新增物体不会受到影响。	將此處顯示的 %d 個物件原樣寫回 %s.cdproj。\n其他專案和新增物件不會受到影響。	Schreibt genau die hier gezeigten %d Objekte zurück in %s.cdproj.\nObjekte anderer Projekte und neue Objekte bleiben unberührt.	Réécrit exactement les %d objets affichés ici dans %s.cdproj.\nLes objets d’autres projets et les nouveaux ne changent pas.	여기에 표시된 오브젝트 %d개를 %s.cdproj에 그대로 저장합니다.\n다른 프로젝트의 오브젝트와 새 오브젝트는 변경하지 않습니다.	ここに表示された%d個のオブジェクトを%s.cdprojにそのまま書き戻します。\n他プロジェクトのオブジェクトや新規オブジェクトには触れません。	Escribe exactamente los %d objetos mostrados aquí en %s.cdproj.\nNo modifica objetos de otros proyectos ni los nuevos.	Grava exatamente os %d objetos exibidos aqui em %s.cdproj.\nObjetos de outros projetos e objetos novos não são alterados.	Записывает ровно %d показанных здесь объектов обратно в %s.cdproj.\nОбъекты других проектов и новые объекты не затрагиваются.	Burada gösterilen %d nesneyi aynen %s.cdproj dosyasına yazar.\nDiğer projelerdeki ve yeni nesneler değiştirilmez.
writes the %d objects of this project plus the new ones back into it; other projects stay untouched	writes the %d objects of this project plus the new ones back into it; other projects stay untouched	将此项目的 %d 个物体和新增物体写回文件；其他项目不受影响	將此專案的 %d 個物件和新增物件寫回檔案；其他專案不受影響	Schreibt die %d Objekte dieses Projekts und neue Objekte zurück; andere Projekte bleiben unverändert	Réécrit les %d objets de ce projet et les nouveaux ; les autres projets ne changent pas	이 프로젝트의 오브젝트 %d개와 새 오브젝트를 저장하며 다른 프로젝트는 변경하지 않습니다	このプロジェクトの%d個のオブジェクトと新規オブジェクトを書き戻します。他のプロジェクトは変更しません	Escribe los %d objetos de este proyecto y los nuevos; los demás proyectos no se modifican	Grava os %d objetos deste projeto e os novos; os outros projetos não são alterados	Записывает %d объектов этого проекта и новые; другие проекты не изменяются	Bu projenin %d nesnesini ve yenileri kaydeder; diğer projeler değişmez
this project is not in the scene: Overwrite would replace it with everything that is placed right now	this project is not in the scene: Overwrite would replace it with everything that is placed right now	此项目当前未在场景中：“覆盖”会用当前已放置的所有物体替换它	此專案目前不在場景中：「覆寫」會以目前已放置的所有物件取代它	Dieses Projekt ist nicht in der Szene: „Überschreiben“ würde es durch alles aktuell Platzierte ersetzen	Ce projet n’est pas dans la scène : « Écraser » le remplacerait par tout ce qui est placé actuellement	이 프로젝트는 장면에 없습니다. 덮어쓰면 현재 배치된 모든 항목으로 대체됩니다	このプロジェクトはシーンにありません。「上書き」すると現在配置されているすべてで置き換わります	Este proyecto no está en la escena: sobrescribirlo lo reemplazaría por todo lo colocado ahora	Este projeto não está na cena: sobrescrevê-lo substituiria tudo que está colocado agora	Проекта нет на сцене: перезапись заменит его всем, что размещено сейчас	Bu proje sahnede değil: üzerine yazmak onu şu anda yerleştirilmiş her şeyle değiştirir
adds the project to what is already placed; Replace all removes the current objects first	adds the project to what is already placed; Replace all removes the current objects first	将项目添加到当前场景；“全部替换”会先移除当前物体	將專案加入目前場景；「全部取代」會先移除現有物件	Fügt das Projekt zur Szene hinzu; „Alles ersetzen“ entfernt zuerst die aktuellen Objekte	Ajoute le projet à la scène ; « Tout remplacer » supprime d’abord les objets actuels	현재 배치된 항목에 프로젝트를 추가합니다. 모두 교체는 기존 오브젝트를 먼저 제거합니다	現在の配置にプロジェクトを追加します。「すべて置換」は既存のオブジェクトを先に削除します	Añade el proyecto a lo colocado; «Reemplazar todo» elimina primero los objetos actuales	Adiciona o projeto ao que já está colocado; «Substituir tudo» remove primeiro os objetos atuais	Добавляет проект к размещённым объектам; «Заменить всё» сначала удаляет текущие	Projeyi mevcut yerleşime ekler; Tümünü değiştir önce mevcut nesneleri kaldırır
load this project automatically at game start; you can tick as many as you like, they are all placed into the same scene	load this project automatically at game start; you can tick as many as you like, they are all placed into the same scene	在游戏启动时自动加载此项目；可以勾选多个项目，它们都会放入同一场景	在遊戲啟動時自動載入此專案；可勾選多個專案，它們都會放入同一場景	Dieses Projekt beim Spielstart laden; beliebig viele auswählen, alle erscheinen in derselben Szene	Charge ce projet au démarrage du jeu ; plusieurs projets peuvent être chargés dans la même scène	게임 시작 시 이 프로젝트를 자동으로 불러옵니다. 여러 개를 선택해도 같은 장면에 배치됩니다	ゲーム開始時にこのプロジェクトを自動読込します。複数選択しても同じシーンに配置されます	Carga este proyecto al iniciar el juego; puedes marcar varios y se colocarán en la misma escena	Carrega este projeto ao iniciar o jogo; você pode marcar vários e todos irão para a mesma cena	Загружает проект при запуске игры; можно выбрать несколько, все появятся на одной сцене	Oyun başladığında projeyi yükler; birden çok proje seçilebilir ve aynı sahneye yerleştirilir
autoload: off. Tick as many projects as you like; they all spawn ~3 s after the player is in the world.	autoload: off. Tick as many projects as you like; they all spawn ~3 s after the player is in the world.	自动加载：关闭。可勾选多个项目；玩家进入世界约 3 秒后会生成。	自動載入：關閉。可勾選多個專案；玩家進入世界約 3 秒後會生成。	Autoload aus. Wähle beliebig viele Projekte; sie erscheinen etwa 3 s nach dem Betreten der Welt.	Chargement auto désactivé. Sélectionnez des projets ; ils apparaîtront environ 3 s après l’arrivée du joueur dans le monde.	자동 불러오기 꺼짐. 여러 프로젝트를 선택할 수 있으며 플레이어가 월드에 진입한 뒤 약 3초 후 생성됩니다.	自動読み込み：オフ。複数のプロジェクトを選択でき、プレイヤーがワールドに入って約3秒後に生成されます。	Carga automática desactivada. Marca los proyectos que quieras; aparecerán unos 3 s después de entrar al mundo.	Carregamento automático desativado. Selecione projetos; eles surgirão cerca de 3 s após o jogador entrar no mundo.	Автозагрузка выключена. Выберите проекты; они появятся примерно через 3 с после входа игрока в мир.	Otomatik yükleme kapalı. İstediğiniz projeleri seçin; oyuncu dünyaya girdikten yaklaşık 3 sn sonra oluşturulurlar.
autoload (%d): %s - spawned ~3 s after the player is in the world (file: bin64\\cdmodkit\\autoload.txt, one name per line)	autoload (%d): %s - spawned ~3 s after the player is in the world (file: bin64\\cdmodkit\\autoload.txt, one name per line)	自动加载（%d）：%s - 玩家进入世界约 3 秒后生成（文件：bin64\\cdmodkit\\autoload.txt，每行一个名称）	自動載入（%d）：%s - 玩家進入世界約 3 秒後生成（檔案：bin64\\cdmodkit\\autoload.txt，每行一個名稱）	Autoload (%d): %s – erscheint etwa 3 s nach dem Betreten der Welt (Datei: bin64\\cdmodkit\\autoload.txt, ein Name pro Zeile)	Chargement auto (%d) : %s – apparaît environ 3 s après l’arrivée du joueur (fichier : bin64\\cdmodkit\\autoload.txt, un nom par ligne)	자동 불러오기(%d): %s - 플레이어가 월드에 들어온 뒤 약 3초 후 생성(파일: bin64\\cdmodkit\\autoload.txt, 한 줄에 이름 하나)	自動読み込み（%d）：%s - プレイヤーがワールドに入って約3秒後に生成（ファイル：bin64\\cdmodkit\\autoload.txt、1行に1名）	Carga automática (%d): %s; aparece unos 3 s después de entrar al mundo (archivo: bin64\\cdmodkit\\autoload.txt, un nombre por línea)	Carga automática (%d): %s; surge cerca de 3 s após entrar no mundo (arquivo: bin64\\cdmodkit\\autoload.txt, um nome por linha)	Автозагрузка (%d): %s — появится примерно через 3 с после входа игрока в мир (файл: bin64\\cdmodkit\\autoload.txt, по одному имени в строке)	Otomatik yükleme (%d): %s - oyuncu dünyaya girdikten yaklaşık 3 sn sonra oluşturulur (dosya: bin64\\cdmodkit\\autoload.txt, satır başına bir ad)
gimmick spawn research: captures %d%s	gimmick spawn research: captures %d%s	机关生成研究：捕获 %d%s	機關生成研究：擷取 %d%s	Gimmick-Spawn-Forschung: %d Aufnahmen%s	Étude d’apparition des mécanismes : %d captures%s	기믹 생성 연구: 캡처 %d%s	ギミック生成の調査：キャプチャ%d%s	Investigación de generación gimmick: capturas %d%s	Pesquisa de geração gimmick: capturas %d%s	Исследование создания механизмов: захватов %d%s	Gimmick oluşturma araştırması: %d yakalama%s
Auto (system)	Auto (system)	自动（系统）	自動（系統）	Auto (System)	Auto (système)	자동(시스템)	自動（システム）	Automático (sistema)	Automático (sistema)	Авто (системный язык)	Otomatik (sistem)
English	English	英语	英語	Englisch	Anglais	영어	英語	Inglés	Inglês	Английский	İngilizce
Simplified Chinese	Simplified Chinese	简体中文	简体中文	Vereinfachtes Chinesisch	Chinois simplifié	중국어(간체)	簡体字中国語	Chino simplificado	Chinês simplificado	Упрощённый китайский	Basitleştirilmiş Çince
Traditional Chinese	Traditional Chinese	繁体中文	繁體中文	Traditionelles Chinesisch	Chinois traditionnel	중국어(번체)	繁体字中国語	Chino tradicional	Chinês tradicional	Традиционный китайский	Geleneksel Çince
German	German	德语	德語	Deutsch	Allemand	독일어	ドイツ語	Alemán	Alemão	Немецкий	Almanca
French	French	法语	法語	Französisch	Français	프랑스어	フランス語	Francés	Francês	Французский	Fransızca
Korean	Korean	韩语	韓語	Koreanisch	Coréen	한국어	韓国語	Coreano	Coreano	Корейский	Korece
Japanese	Japanese	日语	日語	Japanisch	Japonais	일본어	日本語	Japonés	Japonês	Японский	Japonca
Spanish	Spanish	西班牙语	西班牙語	Spanisch	Espagnol	스페인어	スペイン語	Español	Espanhol	Испанский	İspanyolca
Portuguese (Brazil)	Portuguese (Brazil)	葡萄牙语（巴西）	葡萄牙語（巴西）	Portugiesisch (Brasilien)	Portugais (Brésil)	포르투갈어(브라질)	ポルトガル語（ブラジル）	Portugués (Brasil)	Português (Brasil)	Португальский (Бразилия)	Brezilya Portekizcesi
Russian	Russian	俄语	俄語	Russisch	Russe	러시아어	ロシア語	Ruso	Russo	Русский	Rusça
Turkish	Turkish	土耳其语	土耳其語	Türkisch	Turc	튀르키예어	トルコ語	Turco	Turco	Турецкий	Türkçe
move away from me	move away from me	远离我	遠離我	Von mir weg	Éloigner de moi	나에게서 멀리	自分から遠ざける	Alejar de mí	Afastar de mim	От себя	Benden uzaklaştır
move closer	move closer	靠近我	靠近我	Näher zu mir	Rapprocher de moi	나에게 가까이	自分に近づける	Acercar	Aproximar	К себе	Yaklaştır
move left	move left	向左移动	向左移動	Nach links bewegen	Déplacer à gauche	왼쪽으로 이동	左へ移動	Mover a la izquierda	Mover para a esquerda	Двигать влево	Sola taşı
move right	move right	向右移动	向右移動	Nach rechts bewegen	Déplacer à droite	오른쪽으로 이동	右へ移動	Mover a la derecha	Mover para a direita	Двигать вправо	Sağa taşı
move up	move up	向上移动	向上移動	Nach oben bewegen	Déplacer vers le haut	위로 이동	上へ移動	Mover hacia arriba	Mover para cima	Двигать вверх	Yukarı taşı
move down	move down	向下移动	向下移動	Nach unten bewegen	Déplacer vers le bas	아래로 이동	下へ移動	Mover hacia abajo	Mover para baixo	Двигать вниз	Aşağı taşı
rotate left	rotate left	向左旋转	向左旋轉	Nach links drehen	Tourner à gauche	왼쪽 회전	左に回転	Girar a la izquierda	Girar para a esquerda	Повернуть влево	Sola döndür
rotate right	rotate right	向右旋转	向右旋轉	Nach rechts drehen	Tourner à droite	오른쪽 회전	右に回転	Girar a la derecha	Girar para a direita	Повернуть вправо	Sağa döndür
scale up	scale up	放大	放大	Vergrößern	Agrandir	크기 확대	拡大	Aumentar escala	Aumentar escala	Увеличить	Büyüt
scale down	scale down	缩小	縮小	Verkleinern	Réduire	크기 축소	縮小	Reducir escala	Reduzir escala	Уменьшить	Küçült
bring it in front of me	bring it in front of me	移到我面前	移到我面前	Vor mich holen	Placer devant moi	내 앞으로 가져오기	目の前に移動	Traer delante de mí	Trazer para minha frente	Передо мной	Önüme getir
snapping on / off	snapping on / off	切换吸附	切換吸附	Raster ein/aus	Activer/désactiver l’alignement	스냅 켜기/끄기	スナップ切替	Activar/desactivar ajuste	Ativar/desativar ajuste	Включить/выключить привязку	Hizalamayı aç/kapat
mouse to gizmo / camera	mouse to gizmo / camera	鼠标切换到操纵器/摄像机	滑鼠切換至操縱器／攝影機	Maus zu Gizmo / Kamera	Souris vers gizmo / caméra	마우스를 기즈모/카메라로 전환	マウスをギズモ／カメラに切替	Ratón al gizmo / cámara	Mouse para gizmo / câmera	Мышь: гизмо / камера	Fareyi gizmo / kameraya geçir
level (remove the tilt)	level (remove the tilt)	水平对齐（移除倾斜）	水平對齊（移除傾斜）	Ausrichten (Neigung entfernen)	Mettre à niveau (retirer l’inclinaison)	수평 맞춤(기울기 제거)	水平にする（傾きを除去）	Nivelar (quitar inclinación)	Nivelar (remover inclinação)	Выровнять (убрать наклон)	Düzle (eğimi kaldır)
snap to ground	snap to ground	吸附到地面	吸附至地面	Am Boden ausrichten	Aligner au sol	지면에 맞추기	地面にスナップ	Ajustar al suelo	Alinhar ao chão	Привязать к земле	Zemine hizala
drop	drop	放下	放下	Ablegen	Déposer	놓기	置く	Soltar	Soltar	Опустить	Bırak
cancel / put back	cancel / put back	取消/放回	取消／放回	Abbrechen / zurücklegen	Annuler / remettre	취소/되돌리기	キャンセル／元に戻す	Cancelar / devolver	Cancelar / devolver	Отмена / вернуть	İptal / geri koy
fast (hold)	fast (hold)	快速（按住）	快速（按住）	Schnell (halten)	Rapide (maintenir)	빠르게(누르고 있기)	高速（長押し）	Rápido (mantener)	Rápido (segurar)	Быстро (удерживать)	Hızlı (basılı tut)
hooks MISSING	hooks MISSING	钩子未就绪	掛鉤未就緒	Hooks FEHLEN	Hooks MANQUANTS	훅 누락	フック未検出	Hooks FALTANTES	Hooks AUSENTES	ХУКИ ОТСУТСТВУЮТ	Hook EKSİK
game thread: waiting	game thread: waiting	游戏线程：等待中	遊戲執行緒：等待中	Spielthread: wartet	Thread du jeu : en attente	게임 스레드: 대기 중	ゲームスレッド：待機中	Hilo del juego: esperando	Thread do jogo: aguardando	Поток игры: ожидание	Oyun iş parçacığı: bekliyor
game thread: running	game thread: running	游戏线程：运行中	遊戲執行緒：執行中	Spielthread: läuft	Thread du jeu : actif	게임 스레드: 실행 중	ゲームスレッド：実行中	Hilo del juego: activo	Thread do jogo: em execução	Поток игры: работает	Oyun iş parçacığı: çalışıyor
game thread: paused	game thread: paused	游戏线程：已暂停	遊戲執行緒：已暫停	Spielthread: pausiert	Thread du jeu : en pause	게임 스레드: 일시 중지	ゲームスレッド：一時停止	Hilo del juego: pausado	Thread do jogo: pausado	Поток игры: приостановлен	Oyun iş parçacığı: duraklatıldı
center %.1f  %.1f  %.1f    rotation %+.0f    tilt %+.0f / %+.0f    scale x%.2f    snap %s	center %.1f  %.1f  %.1f    rotation %+.0f    tilt %+.0f / %+.0f    scale x%.2f    snap %s	中心 %.1f  %.1f  %.1f    旋转 %+.0f    倾斜 %+.0f / %+.0f    比例 x%.2f    吸附 %s	中心 %.1f  %.1f  %.1f    旋轉 %+.0f    傾斜 %+.0f / %+.0f    比例 x%.2f    吸附 %s	Mitte %.1f  %.1f  %.1f    Drehung %+.0f    Neigung %+.0f / %+.0f    Größe x%.2f    Raster %s	Centre %.1f  %.1f  %.1f    rotation %+.0f    inclinaison %+.0f / %+.0f    échelle x%.2f    alignement %s	중심 %.1f  %.1f  %.1f    회전 %+.0f    기울기 %+.0f / %+.0f    크기 x%.2f    스냅 %s	中心 %.1f  %.1f  %.1f    回転 %+.0f    傾き %+.0f / %+.0f    スケール x%.2f    スナップ %s	Centro %.1f  %.1f  %.1f    giro %+.0f    inclinación %+.0f / %+.0f    escala x%.2f    ajuste %s	Centro %.1f  %.1f  %.1f    rotação %+.0f    inclinação %+.0f / %+.0f    escala x%.2f    ajuste %s	Центр %.1f  %.1f  %.1f    поворот %+.0f    наклон %+.0f / %+.0f    масштаб x%.2f    привязка %s	Merkez %.1f  %.1f  %.1f    dönüş %+.0f    eğim %+.0f / %+.0f    ölçek x%.2f    hizalama %s
Move: %s %s %s %s%s     Rotate: %s %s     Height: %s %s     Size: %s %s	Move: %s %s %s %s%s     Rotate: %s %s     Height: %s %s     Size: %s %s	移动：%s %s %s %s%s     旋转：%s %s     高度：%s %s     大小：%s %s	移動：%s %s %s %s%s     旋轉：%s %s     高度：%s %s     大小：%s %s	Bewegen: %s %s %s %s%s     Drehen: %s %s     Höhe: %s %s     Größe: %s %s	Déplacer : %s %s %s %s%s     Tourner : %s %s     Hauteur : %s %s     Taille : %s %s	이동: %s %s %s %s%s     회전: %s %s     높이: %s %s     크기: %s %s	移動：%s %s %s %s%s     回転：%s %s     高さ：%s %s     サイズ：%s %s	Mover: %s %s %s %s%s     Girar: %s %s     Altura: %s %s     Tamaño: %s %s	Mover: %s %s %s %s%s     Girar: %s %s     Altura: %s %s     Tamanho: %s %s	Движение: %s %s %s %s%s     Поворот: %s %s     Высота: %s %s     Размер: %s %s	Taşı: %s %s %s %s%s     Döndür: %s %s     Yükseklik: %s %s     Boyut: %s %s
%s = bring it in front of me     %s = snap %s     %s = mouse to %s     %s = level     %s = to ground     %s or placing / selecting something else = done     %s = %s	%s = bring it in front of me     %s = snap %s     %s = mouse to %s     %s = level     %s = to ground     %s or placing / selecting something else = done     %s = %s	%s = 移到我面前     %s = 吸附 %s     %s = 鼠标切换到 %s     %s = 水平对齐     %s = 吸附到地面     %s 或开始放置/选择其他物体 = 完成     %s = %s	%s = 移到我面前     %s = 吸附 %s     %s = 滑鼠切換至 %s     %s = 水平對齊     %s = 吸附至地面     %s 或開始放置／選取其他物件 = 完成     %s = %s	%s = vor mich holen     %s = Raster %s     %s = Maus zu %s     %s = ausrichten     %s = am Boden einrasten     %s oder neue Auswahl = fertig     %s = %s	%s = placer devant moi     %s = aligner %s     %s = souris vers %s     %s = mettre à niveau     %s = aligner au sol     %s ou nouvelle sélection = terminer     %s = %s	%s = 내 앞으로 가져오기     %s = 스냅 %s     %s = 마우스를 %s로     %s = 수평 맞춤     %s = 지면 맞춤     %s 또는 다른 항목 배치/선택 = 완료     %s = %s	%s = 目の前に移動     %s = スナップ %s     %s = マウスを%sへ     %s = 水平にする     %s = 地面にスナップ     %sまたは別の配置／選択で完了     %s = %s	%s = traer delante     %s = ajuste %s     %s = ratón a %s     %s = nivelar     %s = ajustar al suelo     %s o seleccionar/colocar otra cosa = terminar     %s = %s	%s = trazer para frente     %s = ajuste %s     %s = mouse para %s     %s = nivelar     %s = alinhar ao chão     %s ou colocar/selecionar outra coisa = concluir     %s = %s	%s = передо мной     %s = привязка %s     %s = мышь: %s     %s = выровнять     %s = к земле     %s или новое размещение/выбор = готово     %s = %s	%s = önüme getir     %s = hizalama %s     %s = fareyi %s yap     %s = düzle     %s = zemine hizala     %s veya başka seçim/yerleştirme = tamam     %s = %s
extra distance in front of you, height, and sideways offset; the object's footprint is already accounted for	extra distance in front of you, height, and sideways offset; the object's footprint is already accounted for	额外设置物体在你面前的距离、高度和侧向偏移；已考虑物体占地范围	額外設定物件在你面前的距離、高度和側向偏移；已考慮物件占地範圍	Zusätzlicher Abstand nach vorn, Höhe und seitlicher Versatz; die Grundfläche des Objekts ist bereits berücksichtigt	Distance supplémentaire devant vous, hauteur et décalage latéral ; l’empreinte de l’objet est déjà prise en compte	앞쪽 거리, 높이, 좌우 오프셋을 추가합니다. 오브젝트의 바닥 면적은 이미 반영됩니다	目の前の距離、高さ、横方向のオフセットを追加します。オブジェクトの占有範囲は考慮済みです	Distancia adicional delante, altura y desplazamiento lateral; la huella del objeto ya está considerada	Distância extra à frente, altura e deslocamento lateral; a área ocupada pelo objeto já é considerada	Дополнительное расстояние перед вами, высота и боковое смещение; габариты объекта уже учтены	Öne ek mesafe, yükseklik ve yana kaydırma; nesnenin taban alanı zaten hesaba katılır
front = camera view	front = camera view	前方 = 摄像机视角	前方 = 攝影機視角	Vorne = Kamerablickrichtung	Devant = direction de la caméra	앞쪽 = 카메라 시야	前方 = カメラ視点	Delante = vista de cámara	Frente = visão da câmera	Вперёд = направление камеры	Ön = kamera görünümü
where 'in front of you' points: the camera's view direction (on) or the direction you last walked (off)	where 'in front of you' points: the camera's view direction (on) or the direction you last walked (off)	“你面前”的方向：开启时使用摄像机视角，关闭时使用上次行走方向	「你面前」的方向：開啟時使用攝影機視角，關閉時使用上次行走方向	Richtung „vor dir“: Kamerablick (ein) oder zuletzt gelaufene Richtung (aus)	Direction « devant vous » : vue caméra (activée) ou dernière direction de marche (désactivée)	'앞쪽' 방향: 켜면 카메라 시야, 끄면 마지막으로 걸은 방향	「目の前」の向き：オンならカメラ視点、オフなら最後に歩いた方向	Dirección «delante»: cámara (activado) o último rumbo a pie (desactivado)	Direção “à frente”: câmera (ativada) ou último sentido caminhado (desativada)	Направление «перед вами»: камера (вкл.) или последнее направление движения (выкл.)	“Ön” yönü: açıkken kamera, kapalıyken son yürüdüğünüz yön
spawns <count> copies in a row across your line of sight, <spacing> apart, grouped, then hands them to the placement mode	spawns <count> copies in a row across your line of sight, <spacing> apart, grouped, then hands them to the placement mode	沿视线方向横向排列 <count> 个副本，间距为 <spacing>，并编组后交给放置模式	沿視線方向橫向排列 <count> 個複本，間距為 <spacing>，並群組後交給放置模式	Erzeugt <count> Kopien quer zu deiner Blickrichtung im Abstand <spacing>, gruppiert sie und übergibt sie dem Platzierungsmodus	Crée <count> copies en ligne dans votre champ de vision, espacées de <spacing>, les groupe et passe au mode placement	시야를 가로지르는 줄에 <count>개 복사본을 <spacing> 간격으로 생성하고 그룹화한 뒤 배치 모드로 넘깁니다	視線を横切る列に<count>個を<spacing>間隔で生成し、グループ化して配置モードに渡します	Crea <count> copias en una fila frente a ti, separadas <spacing>, las agrupa y activa el modo de colocación	Gera <count> cópias em uma linha à sua frente, com <spacing> de distância, agrupa e abre o modo de posicionamento	Создаёт <count> копий поперёк направления взгляда с интервалом <spacing>, группирует и передаёт в режим размещения	Görüşünüz boyunca <spacing> aralıkla <count> kopya oluşturur, gruplar ve yerleştirme moduna geçirir
spawns <count> copies on a circle of <radius> in front of you, grouped, then hands them to the placement mode	spawns <count> copies on a circle of <radius> in front of you, grouped, then hands them to the placement mode	在你面前半径为 <radius> 的圆周上生成 <count> 个副本并编组，然后进入放置模式	在你面前半徑為 <radius> 的圓周上生成 <count> 個複本並群組，然後進入放置模式	Erzeugt <count> Kopien auf einem Kreis mit Radius <radius> vor dir, gruppiert sie und startet den Platzierungsmodus	Crée <count> copies sur un cercle de rayon <radius> devant vous, les groupe et passe au mode placement	앞쪽 반지름 <radius> 원 위에 <count>개 복사본을 생성하고 그룹화한 뒤 배치 모드로 넘깁니다	目の前の半径<radius>の円上に<count>個を生成し、グループ化して配置モードに渡します	Crea <count> copias en un círculo de radio <radius> delante de ti, las agrupa y activa el modo de colocación	Gera <count> cópias em um círculo de raio <radius> à sua frente, agrupa e abre o modo de posicionamento	Создаёт <count> копий по кругу радиуса <radius> перед вами, группирует и передаёт в режим размещения	Önünüzde yarıçapı <radius> olan bir daireye <count> kopya dizer, gruplar ve yerleştirme moduna geçirir
How each copy is turned. The line runs from left to right in front of you.\nyaw as set:       every copy keeps the yaw from the spawn options, no matter where it stands.\nalong the line:   the object's X axis points along the line (fences, walls, railings end to end).\nacross the line:  the object's X axis is turned 90 degrees to the line, all copies face the same way\n                  (benches, market stalls, tents side by side).	How each copy is turned. The line runs from left to right in front of you.\nyaw as set:       every copy keeps the yaw from the spawn options, no matter where it stands.\nalong the line:   the object's X axis points along the line (fences, walls, railings end to end).\nacross the line:  the object's X axis is turned 90 degrees to the line, all copies face the same way\n                  (benches, market stalls, tents side by side).	每个副本的朝向方式。直线从你面前的左侧延伸到右侧。\n保持当前偏航角：每个副本都使用生成选项中的偏航角。\n沿直线方向：物体的 X 轴沿直线排列（栅栏、墙和栏杆首尾相接）。\n垂直于直线：物体的 X 轴与直线垂直，所有副本朝向相同（长椅、摊位、帐篷并排）。	每個複本的朝向方式。直線從你面前的左側延伸到右側。\n保持目前偏航角：每個複本都使用生成選項中的偏航角。\n沿直線方向：物件的 X 軸沿直線排列（柵欄、牆和欄杆首尾相接）。\n垂直於直線：物件的 X 軸與直線垂直，所有複本朝向相同（長椅、攤位、帳篷並排）。	Ausrichtung jeder Kopie. Die Linie verläuft vor dir von links nach rechts.\nWinkel beibehalten: Alle Kopien nutzen den Spawn-Winkel.\nEntlang der Linie: Die X-Achse zeigt entlang der Linie (Zäune und Mauern aneinanderreihen).\nQuer zur Linie: Die X-Achse steht senkrecht, alle Kopien zeigen gleich (Bänke, Stände, Zelte nebeneinander).	Ausrichtung de chaque copie. La ligne va de gauche à droite devant vous.\nAngle défini : chaque copie garde l’angle des options de génération.\nLe long de la ligne : l’axe X suit la ligne (clôtures, murs et rampes bout à bout).\nEn travers : l’axe X est perpendiculaire, toutes les copies regardent pareil (bancs, étals, tentes côte à côte).	각 복사본의 방향입니다. 선은 앞쪽에서 왼쪽에서 오른쪽으로 이어집니다.\n설정된 요: 모든 복사본이 생성 옵션의 요 값을 유지합니다.\n선을 따라: 오브젝트 X축이 선을 따라갑니다(울타리, 벽, 난간을 잇는 경우).\n선 가로질러: X축이 선과 90도이며 모두 같은 방향을 향합니다(벤치, 노점, 텐트를 나란히 배치).	各コピーの向き。線は目の前を左から右へ伸びます。\n設定ヨー：生成オプションのヨーを維持します。\n線に沿う：オブジェクトのX軸を線に沿わせます（柵、壁、手すりを連結）。\n線に対して横向き：X軸を線に対して90度にし、全て同じ向きにします（ベンチ、屋台、テントなど）。	Orientación de cada copia. La línea va de izquierda a derecha delante de ti.\nGiro definido: cada copia conserva el giro de las opciones.\nA lo largo: el eje X sigue la línea (vallas, muros y barandillas en fila).\nA través: el eje X queda perpendicular y todas miran igual (bancos, puestos y tiendas).	Orientação de cada cópia. A linha vai da esquerda para a direita à sua frente.\nRotação definida: cada cópia mantém a rotação das opções.\nAo longo: o eixo X acompanha a linha (cercas, muros e corrimãos em sequência).\nAtravessado: o eixo X fica perpendicular e todas apontam para o mesmo lado (bancos, barracas, tendas).	Направление копий. Линия проходит слева направо перед вами.\nЗаданный угол: угол из параметров создания.\nВдоль линии: ось X вдоль линии (заборы, стены, перила в ряд).\nПоперёк: ось X перпендикулярна линии, все копии смотрят одинаково (скамьи, прилавки, палатки).	Kopyaların yönü. Çizgi önünüzde soldan sağa uzanır.\nSabit yaw: oluşturma seçeneklerindeki yaw korunur.\nÇizgi boyunca: X ekseni çizgiyi izler (çit, duvar, korkuluk sıraları).\nÇizgiye çapraz: X ekseni dik durur ve tüm kopyalar aynı yöne bakar (banklar, tezgâhlar, çadırlar).
